5 0.53328
6 0.52624
7 0.52976
8 0.893016
9 1.40436
10 1.78145
11 2.56296
12 3.26235
13 4.22908
14 5.16422
15 6.8187
16 7.3227
17 10.1655
18 10.8298
19 14.9081
20 15.893
21 17.8473
22 20.5792
23 23.6294
24 27.2746
25 30.9951
26 35.7876
27 38.4834
28 44.1167
29 45.051
30 51.5005
31 55.1728
32 60.7304
33 74.9512
34 70.6164
35 79.5
36 90.8727
37 91.1384
38 107.81
39 109.718
40 136.524
41 135.311
42 143.414
43 154.627
44 170.116
45 178.594
46 170.003
47 201.404
48 231.232
49 217.644
50 239.056
51 276.248
52 285.985
53 275.933
54 320.186
55 341.07
56 341.669
57 327.383
58 348.685
59 348.467
60 375.825
61 391.962
62 371.644
63 379.931
64 386.648
65 402.213
66 412.021
67 409.62
68 415.328
69 431.769
70 448.378
71 448.417
72 458.457
73 447.461
74 467.385
75 482.602
76 475.215
77 490.623
78 511.092
79 507.428
80 511.832
81 518.4
82 511.68
83 526.4
84 525.84
85 529.08
86 533.24
87 539.44
88 559.8
89 560.52
90 579.56
91 591.84
92 595.56
93 589.08
94 592.2
