5 24.7398
6 24.4941
7 24.6579
8 22.3642
9 23.0195
10 22.2822
11 22.8557
12 23.511
13 23.4291
14 22.9376
15 23.2653
16 22.528
17 23.1014
18 23.2653
19 23.7568
20 23.7568
21 23.2653
22 23.2653
23 23.6749
24 23.3472
25 23.593
26 23.7568
27 23.8387
28 23.593
29 23.1014
30 22.6918
31 23.8387
32 22.3642
33 23.1834
34 22.9376
35 22.3642
36 23.6749
37 23.0195
38 23.2653
39 23.2653
40 23.511
41 23.3472
42 23.4291
43 23.2653
44 23.8387
45 23.593
46 22.6099
47 22.7738
48 23.3472
49 23.0195
50 23.6749
51 23.8387
52 23.6749
53 23.4291
54 23.511
55 24.0026
56 22.9376
57 23.1834
58 23.4291
59 22.9376
60 23.593
61 23.593
62 23.0195
63 22.6099
64 22.0365
65 22.4461
66 22.8557
67 22.528
68 21.2173
69 21.9546
70 22.1184
71 22.1184
72 22.1184
73 20.3981
74 20.3162
75 20.8077
76 19.0054
77 19.9885
78 20.5619
79 19.415
80 19.1693
81 19.497
82 19.0874
83 19.415
84 19.497
85 18.432
86 18.2682
87 17.367
88 16.9574
89 16.5478
90 17.2851
91 17.7766
92 17.8586
93 17.8586
94 17.8586
